year,id,ext,den,cal,Reef
1951,050B04,1.2190,1.3840,1.6880,50
1952,050B04,0.9400,1.3780,1.2950,50
1953,050B04,1.3460,1.4390,1.9370,50
1954,050B04,1.1180,1.4300,1.5980,50
1955,050B04,1.2190,1.3530,1.6490,50
1956,050B04,0.8130,1.3310,1.0820,50
1957,050B04,1.2190,1.3590,1.6570,50
1958,050B04,1.4730,1.3320,1.9620,50
1959,050B04,1.4220,1.3180,1.8750,50
1960,050B04,1.0670,1.3400,1.4300,50
1961,050B04,0.7370,1.3900,1.0240,50
1962,050B04,1.3210,1.3800,1.8220,50
1963,050B04,1.3210,1.3000,1.7170,50
1964,050B04,1.1180,1.2250,1.3700,50
1965,050B04,1.3720,1.2590,1.7270,50
1966,050B04,1.4035,1.2690,1.7810,50
1967,050B04,1.4350,1.2970,1.8612,50
1968,050B04,1.2950,1.2970,1.6800,50
1969,050B04,1.1680,1.2760,1.4910,50
1970,050B04,1.5490,1.2590,1.9510,50
1971,050B04,1.1180,1.2570,1.4050,50
1972,050B04,0.9650,1.3320,1.2860,50
1973,050B04,1.0410,1.3970,1.4540,50
1974,050B04,0.8890,1.4350,1.2760,50
1975,050B04,1.6260,1.3430,2.1840,50
1976,050B04,1.2950,1.3010,1.6850,50
1977,050B04,0.8380,1.2800,1.0730,50
1978,050B04,1.6260,1.3540,2.2010,50
1979,050B04,1.4480,1.2360,1.7900,50
1980,050B04,1.3720,1.2950,1.7770,50
1981,050B04,1.0410,1.3360,1.3910,50
1982,050B04,1.2190,1.3120,1.5990,50
1983,050B04,1.1180,1.3580,1.5170,50
1984,050B04,0.8380,1.4020,1.1750,50
1985,050B04,0.7370,1.4260,1.0500,50
1986,050B04,0.9910,1.4440,1.4300,50
1987,050B04,0.7620,1.4940,1.1380,50
1988,050B04,1.0160,1.4660,1.4900,50
1989,050B04,0.8640,1.4920,1.2880,50
1990,050B04,1.1680,1.4590,1.7050,50
1970,050B06,1.1180,1.6080,1.7980,50
1971,050B06,1.7270,1.5540,2.6850,50
1972,050B06,1.2190,1.3690,1.6690,50
1973,050B06,1.0160,1.4320,1.4550,50
1974,050B06,1.5240,1.3720,2.0900,50
1975,050B06,1.6760,1.3760,2.3060,50
1976,050B06,1.1430,1.3560,1.5500,50
1977,050B06,1.4220,1.3820,1.9660,50
1978,050B06,1.2700,1.4180,1.8010,50
1979,050B06,1.3460,1.4210,1.9130,50
1980,050B06,1.3210,1.4370,1.8980,50
1981,050B06,1.3970,1.4850,2.0740,50
1982,050B06,1.2450,1.4690,1.8280,50
1983,050B06,1.6000,1.5030,2.4050,50
1984,050B06,0.8890,1.4930,1.3270,50
1985,050B06,1.4990,1.5050,2.2550,50
1986,050B06,0.9400,1.4390,1.3530,50
1987,050B06,1.6000,1.4110,2.2580,50
1988,050B06,2.0070,1.5230,3.0570,50
1989,050B06,1.3970,1.5070,2.1050,50
1961,050B10,1.5490,1.3610,2.1090,50
1962,050B10,1.4475,1.3240,1.9165,50
1963,050B10,1.3460,1.3680,1.8420,50
1964,050B10,1.4220,1.2910,1.8370,50
1965,050B10,1.0410,1.2350,1.2860,50
1966,050B10,1.5750,1.2580,1.9820,50
1967,050B10,1.5490,1.2420,1.9250,50
1968,050B10,1.5750,1.2680,1.9970,50
1969,050B10,1.4480,1.2550,1.8170,50
1970,050B10,1.5490,1.2650,1.9590,50
1971,050B10,1.6510,1.2900,2.1300,50
1972,050B10,1.0920,1.2740,1.3920,50
1973,050B10,1.7270,1.2580,2.1720,50
1974,050B10,1.3460,1.2460,1.6770,50
1975,050B10,1.7530,1.1780,2.0650,50
1976,050B10,1.7780,1.1830,2.1040,50
1977,050B10,1.7530,1.1990,2.1020,50
1978,050B10,1.6760,1.1820,1.9820,50
1979,050B10,1.3970,1.2320,1.7200,50
1980,050B10,1.3970,1.2050,1.6830,50
1981,050B10,1.8290,1.2380,2.2630,50
1982,050B10,1.0670,1.2400,1.3220,50
1983,050B10,1.5750,1.2170,1.9170,50
1984,050B10,1.5490,1.2270,1.9020,50
1985,050B10,1.6260,1.2630,2.0530,50
1986,050B10,2.0570,1.2340,2.5380,50
1987,050B10,1.6760,1.2270,2.0580,50
1988,050B10,1.7530,1.2200,2.1380,50
1989,050B10,1.9810,1.2420,2.4610,50
1990,050B10,1.0920,1.2500,1.3660,50
1958,055B09,0.8640,1.3370,1.1550,55
1959,055B09,1.4990,1.3500,2.0230,55
1960,055B09,1.0670,1.3850,1.4770,55
1961,055B09,1.0410,1.3550,1.4110,55
1962,055B09,1.6760,1.2960,2.1730,55
1963,055B09,1.6000,1.2390,1.9830,55
1964,055B09,0.9910,1.2190,1.2070,55
1965,055B09,1.6760,1.2440,2.0850,55
1966,055B09,1.4220,1.2590,1.7910,55
1967,055B09,1.0410,1.2710,1.3240,55
1968,055B09,1.0410,1.2680,1.3210,55
1969,055B09,0.7870,1.2480,0.9830,55
1970,055B09,0.9910,1.2270,1.2160,55
1971,055B09,1.1680,1.1750,1.3720,55
1972,055B09,1.1680,1.1560,1.3510,55
1973,055B09,1.0410,1.1170,1.1630,55
1974,055B09,1.1180,1.1130,1.2440,55
1975,055B09,1.2700,1.1300,1.4360,55
1976,055B09,0.7870,1.1210,0.8830,55
1977,055B09,1.3970,1.1400,1.5930,55
1978,055B09,0.8890,1.1590,1.0300,55
1979,055B09,0.9400,1.1340,1.0650,55
1980,055B09,1.0410,1.1150,1.1610,55
1981,055B09,1.2950,1.1190,1.4500,55
1982,055B09,1.0670,1.1440,1.2210,55
