SampleID,Year *a,      Mg/Ca (x10-3) *b,       Sr/Ca (x10-3) *b,      Ba/Ca (x10-6)  *b,        d13C (per mil VPDB) *c,        d18O (per mil VPDB) *c,        d11B (per mil) *d,2sigma,pH *e,   2sigma mean *e
AREO 4-1805-09,1807,4.310,7.762,3.53,-1.59,-4.40,23.61,0.16,8.02,0.02
AREO 4-1810-14,1812,4.139,7.910,4.03,-2.00,-4.49,24.53,0.15,8.13,0.02
AREO 4-1815-19,1817,4.302,7.773,3.36,-1.47,-4.56,22.74,0.15,7.90,0.02
AREO 4-1820-24,1822,4.101,7.792,3.71,-1.25,-4.49,23.86,0.16,8.05,0.02
AREO 4-1825-29,1827,4.249,7.745,3.31,-1.36,-4.37,24.77,0.12,8.15,0.01
AREO 4-1830-34,1832,4.233,7.809,3.58,-1.22,-4.49,23.60,0.14,8.02,0.02
AREO 4-1835-39,1837,4.333,7.747,3.44,-1.26,-4.40,23.12,0.16,7.95,0.02
AREO 4-1840-44,1842,4.330,7.756,5.31,-1.46,-5.15,22.88,0.16,7.92,0.02
AREO 4-1845-49,1847,4.437,7.728,2.81,-0.99,-4.51,22.94,0.20,7.93,0.03
AREO 4-1850-54,1852,4.125,7.715,3.22,-1.03,-4.37,22.90,0.17,7.92,0.02
AREO 4-1855-59,1857,4.065,7.705,2.82,-0.99,-4.36,25.38,0.08,8.22,0.01
AREO 4-1860-64,1862,3.986,7.693,4.22,-0.98,-4.49,22.63,0.12,7.88,0.02
AREO 4-1865-69,1867,3.991,7.686,3.21,-1.06,-4.54,22.53,0.17,7.87,0.02
AREO 4-1870-74,1872,3.929,7.642,3.19,-1.49,-4.65,22.53,0.20,7.87,0.03
AREO 4-1875-79,1877,3.841,7.639,4.13,-1.08,-4.59,23.14,0.17,7.96,0.02
AREO 4-1880-84,1882,4.003,7.663,6.78,-1.29,-5.77,22.96,0.19,7.93,0.02
AREO 4-1885-89,1887,3.968,7.730,3.21,-1.45,-4.39,23.50,0.16,8.00,0.02
AREO 4-1890-94,1892,3.757,7.695,2.96,-1.41,-4.60,23.17,0.14,7.96,0.02
AREO 4-1895-99,1897,3.847,7.676,3.60,-1.69,-4.42,23.43,0.17,7.99,0.02
AREO 4-1900-04,1902,3.758,7.643,3.40,-1.61,-4.51,23.37,0.14,7.99,0.02
AREO 4-1905-09,1907,3.619,7.709,3.75,-1.65,-4.84,23.95,0.19,8.06,0.02
AREO 4-1910-14,1912,3.583,7.720,3.07,-1.95,-4.44,22.52,0.16,7.86,0.02
AREO 4-1915-19,1917,3.747,7.726,3.40,-1.26,-4.58,24.00,0.13,8.07,0.01
AREO 4-1920-24,1922,3.855,7.729,2.92,-1.59,-4.34,22.62,0.19,7.88,0.03
AREO 4-1925-29,1927,3.672,7.732,3.12,-1.90,-4.99,23.98,0.12,8.06,0.01
AREO 4-1930-34,1932,3.785,7.708,2.82,-2.15,-4.81,22.02,0.14,7.78,0.02
AREO 4-1935-39,1937,3.787,7.699,2.61,-1.63,-4.68,21.63,0.19,7.70,0.04
AREO 4-1940,1940,3.805,7.786,4.03,-1.77,-4.89,21.65,0.17,7.71,0.03
